"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"28","Phoenicurus frontalis","Phoenicurus_frontalis","Muscicapidae","Passeriformes",13.1,7.4,3.1,3.2,22.1,84.5,19.4,64.4,23.2,69,15.8,"Forest",1,"2","Carnivore","Invertivore","Insessorial",24.61,39.32,32.07,97.76,2351061.38,"Extant"
"29","Phylloscopus laurae","Phylloscopus_laurae","Sylviidae","Passeriformes",11.3,6,2.8,3,18.7,57.8,9.2,48.5,16,43.8,8.5,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-13.89,-8.05,-10.74,27.83,364414.58,"Extant"
"30","Geotrygon lawrencii","Geotrygon_lawrencii","Columbidae","Columbiformes",21.6,9.6,3.4,4.5,40.3,137.5,33.4,104.1,24.3,74.2,220,"Forest",1,"1","Herbivore","Omnivore","Terrestrial",7.92,11.04,9.36,-82.34,7970.03,"Extant"
"31","Cyanolyca nana","Cyanolyca_nana","Corvidae","Passeriformes",24.1,13.2,6.5,7.3,31.6,113.4,14.9,98.5,13.1,113.9,41,"Forest",1,"1","Carnivore","Invertivore","Insessorial",17.14,21.26,17.98,-96.79,4670.68,"Extant"
"32","Strix hylophila","Strix_hylophila","Strigidae","Strigiformes",27.7,17.2,9.9,15.7,46.2,242.1,53.7,188.4,22.2,152,345.4,"Forest",1,"1","Carnivore","Vertivore","Insessorial",-31.55,-19.9,-25.78,-50.9,711556.62,"Extant"
"33","Urosticte ruficrissa","Urosticte_ruficrissa","Trochilidae","Apodiformes",23,19.8,1.6,1.9,5.8,57,37.8,19.2,66.2,39.2,4.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-6.51,2.06,-2.4,-77.97,31247.82,"Extant"
"34","Piprites chloris","Piprites_chloris","Pipridae","Passeriformes",11.7,7.2,4.2,4.7,16.8,66.2,16.7,49.3,25.3,50.3,16,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-27.82,11.25,-4.83,-62.48,7073219.6,"Extant"
"35","Leucopternis albicollis","Leucopternis_albicollis","Accipitridae","Accipitriformes",38.8,24.8,14.2,19.6,82.9,358.3,93.2,273.6,25.4,216.8,703.7,"Forest",1,"1","Carnivore","Vertivore","Insessorial",-19.87,18.86,-3.96,-63.68,8478535.51,"Extant"
"36","Alcippe formosana","Alcippe_formosana","Timaliidae","Passeriformes",10.4,5.1,2.5,3,21.6,53.3,8,44.4,15.2,53,10,"Forest",1,"1","Carnivore","Invertivore","Insessorial",22.56,24.65,23.77,121.13,8592.64,"Extant"
"37","Phylloscopus trochilus","Phylloscopus_trochilus","Sylviidae","Passeriformes",12.8,6.6,2.6,2.6,19.3,65.9,17.1,48.8,25.9,52.3,8.7,"Forest",1,"3","Carnivore","Invertivore","Insessorial",41.17,72.32,60.53,74.92,15839222.41,"Extant"
