Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Catharus_aurantiirostris,Turdidae,Passeriformes,Catharus aurantiirostris,16.9,9.6,4.2,4.6,30.4,76.8,12.5,63.5,16.4,60.5,29.8,Forest,2,1,Omnivore,Invertivore,Generalist,0.95,29.53,17.31,-93.72,674007.31,Extant
Catharus_bicknelli,Turdidae,Passeriformes,Catharus bicknelli,14.9,9.3,4,3.8,27.7,91.2,26.1,65.2,28.6,72.8,27.8,Forest,1,3,Carnivore,Invertivore,Generalist,41.98,51.01,47.45,-67.48,38746.86,Extant
Catharus_dryas,Turdidae,Passeriformes,Catharus dryas,17.6,9.5,4.6,4.7,34.4,91.2,19,72.4,20.8,74.3,37.7,Forest,1,1,Omnivore,Invertivore,Generalist,-24.04,17.39,-3.34,-75.98,466244.5,Extant
Catharus_frantzii,Turdidae,Passeriformes,Catharus frantzii,17.1,9.7,4.2,4.4,33.1,86.3,15.8,73,17.8,75.9,28.9,Forest,1,1,Omnivore,Invertivore,Generalist,8.75,21.68,16.64,-94.35,282213.59,Extant
Catharus_fuscater,Turdidae,Passeriformes,Catharus fuscater,17.7,9.7,3.6,4.5,33.3,88.4,14.4,71.2,16.9,78.9,33.7,Forest,1,1,Omnivore,Invertivore,Generalist,-18.07,11.1,-4.03,-74.19,313318.36,Extant
Catharus_fuscescens,Turdidae,Passeriformes,Catharus fuscescens,17.6,10,4.4,4.2,29.2,97,27.7,69.4,28.5,69.3,31.9,Forest,1,3,Carnivore,Invertivore,Terrestrial,34.7,55.97,47.14,-95.63,3681872.46,Extant
Catharus_gracilirostris,Turdidae,Passeriformes,Catharus gracilirostris,14.8,8.5,3.3,3.5,31.1,75.9,12.2,63.9,16,63.6,21,Forest,2,1,Omnivore,Invertivore,Insessorial,8.53,10.26,9.4,-83.31,3827.25,Extant
Catharus_guttatus,Turdidae,Passeriformes,Catharus guttatus,18.8,9.2,3.4,3.7,28.9,89,24,65.3,26.9,67.7,30.1,Forest,1,3,Omnivore,Invertivore,Generalist,30.97,65.83,51.07,-107.41,8383811.92,Extant
Catharus_mexicanus,Turdidae,Passeriformes,Catharus mexicanus,16.4,9.7,4.5,4.6,29.5,89,18.8,70.2,21.1,63,33,Forest,1,1,Omnivore,Invertivore,Generalist,8.48,23.48,16.5,-91.21,143279.41,Extant
Catharus_minimus,Turdidae,Passeriformes,Catharus minimus,16.4,9.2,4.5,4,30,100.8,30.7,68.9,30.8,69.2,31.6,Forest,2,3,Carnivore,Invertivore,Terrestrial,46.61,71.39,62.09,-78.35,5090368.26,Extant
Catharus_occidentalis,Turdidae,Passeriformes,Catharus occidentalis,20.7,9,3.6,3.8,31.3,88.6,19.2,69.8,21.6,75,26.2,Forest,2,1,Omnivore,Invertivore,Generalist,15.97,29.98,22.31,-102.74,417881.84,Extant
Catharus_ustulatus,Turdidae,Passeriformes,Catharus ustulatus,14.3,9.3,4.6,4.2,29.6,96.6,31.1,66.6,31.8,68.3,30.3,Forest,1,3,Omnivore,Invertivore,Insessorial,32.94,68.52,54.69,-109.14,7563735.28,Extant
