"","x"
"703","Trichastoma pyrrogenys"
"704","Francolinus icterorhynchus"
"705","Ptilinopus coralensis"
"706","Dives atroviolaceus"
"707","Ortygospiza atricollis"
"708","Calandrella somalica"
"709","Vanellus indicus"
"710","Corvus dauuricus"
"711","Crossleyia xanthophrys"
"712","Canirallus kioloides"
"713","Rallina forbesi"
"714","Clytoceyx rex"
"715","Microparra capensis"
"716","Garrulax bicolor"
"717","Pitta arcuata"
"718","Pseudopodoces humilis"
"719","Spizocorys obbiensis"
"720","Limnodromus semipalmatus"
"721","Pitta megarhyncha"
"722","Luscinia brunnea"
"723","Oreoscopus gutturalis"
"724","Turnix pyrrhothorax"
"725","Ixobrychus involucris"
"726","Arenaria melanocephala"
"727","Amaurornis magnirostris"
"728","Eupodotis savilei"
"729","Geotrygon carrikeri"
"730","Ochetorhynchus phoenicurus"
"731","Columba palumbus"
"732","Tarphonomus certhioides"
"733","Vanellus miles"
"734","Oreortyx pictus"
"735","Burhinus grallarius"
"736","Syrmaticus humiae"
"737","Gallinago solitaria"
"738","Chaimarrornis leucocephalus"
"739","Syrmaticus reevesii"
"740","Emberiza sulphurata"
"741","Eremalauda dunni"
"742","Egretta rufescens"
"743","Atrichornis clamosus"
"744","Tadorna tadornoides"
"745","Columbina picui"
"746","Luscinia sibilans"
"747","Gallinago gallinago"
"748","Thinocorus orbignyianus"
"749","Thinocorus rumicivorus"
"750","Mirafra erythrocephala"
