Phylo,Species,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Butastur rufipennis,Butastur_rufipennis,Accipitridae,Accipitriformes,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,Woodland,3,1,Carnivore,Invertivore,Insessorial,-6.49,19.11,12.64,11.75,3625177.22,Extant
Butastur teesa,Butastur_teesa,Accipitridae,Accipitriformes,30.6,18,10.7,13.8,60.4,295.4,132,165,44.5,191,325,Woodland,3,1,Carnivore,Vertivore,Insessorial,8.07,35.29,23.18,78.91,3969936.2,Extant
Buteo albicaudatus,Buteo_albicaudatus,Accipitridae,Accipitriformes,37.4,22.3,13.8,16.4,87.3,427,148.1,279,34.8,199,885,Grassland,3,1,Carnivore,Vertivore,Generalist,-40.32,29.69,-11.82,-58.97,9466789.11,Extant
Buteo albigula,Buteo_albigula,Accipitridae,Accipitriformes,27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,525,Forest,2,3,Carnivore,Vertivore,Generalist,-51.06,5.43,-24.5,-72.05,1021826.91,Extant
Buteo albonotatus,Buteo_albonotatus,Accipitridae,Accipitriformes,35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.9,Forest,1,1,Carnivore,Vertivore,Aerial,-28.09,36.47,0.47,-69.62,7192504.19,Extant
Buteo archeri,Buteo_archeri,Accipitridae,Accipitriformes,40.6,24.4,13,18.5,87.4,387,128.5,259.2,33.1,175.6,1099.2,Woodland,2,1,Carnivore,Vertivore,Insessorial,NA,NA,NA,NA,NA,Extant
Buteo augur,Buteo_augur,Accipitridae,Accipitriformes,43.9,24.5,13.7,19.3,90.4,423.1,129.7,295.8,30.5,195.6,1099.2,Woodland,2,1,Carnivore,Vertivore,Insessorial,NA,NA,NA,NA,NA,Extant
Buteo auguralis,Buteo_auguralis,Accipitridae,Accipitriformes,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,Forest,1,1,Carnivore,Vertivore,Insessorial,-12.58,16.03,7.61,12.15,7045229.26,Extant
Buteo brachypterus,Buteo_brachypterus,Accipitridae,Accipitriformes,33.6,19.7,11.5,16.4,63.1,315.4,100.1,215.2,31.7,184.4,511,Forest,1,1,Carnivore,Vertivore,Insessorial,-25.61,-11.95,-19.38,46.7,591120.44,Extant
Buteo brachyurus,Buteo_brachyurus,Accipitridae,Accipitriformes,31.1,17,10.4,14.9,53.8,307.6,90,213.3,29.7,171,496,Forest,1,1,Carnivore,Vertivore,Aerial,-30.69,29.85,-5.09,-62.04,14372802.04,Extant
Buteo buteo,Buteo_buteo,Accipitridae,Accipitriformes,35.6,21.1,12.5,16.6,75.7,374.6,143.8,231.2,38.2,204.1,759.1,Grassland,3,2,Carnivore,Vertivore,Insessorial,12.3,67.81,52.89,64.71,16600070.45,Extant
Buteo galapagoensis,Buteo_galapagoensis,Accipitridae,Accipitriformes,40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,Woodland,1,1,Carnivore,Vertivore,Aerial,-1.41,0.65,-0.44,-91.13,5639.54,Extant
Buteo hemilasius,Buteo_hemilasius,Accipitridae,Accipitriformes,40.7,23.1,14.7,18.8,80,467.2,179,290.2,38.2,251.4,1358.9,Grassland,3,1,Carnivore,Vertivore,Generalist,28.27,54.14,42.4,100.83,5366251.83,Extant
Buteo jamaicensis,Buteo_jamaicensis,Accipitridae,Accipitriformes,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,Woodland,2,3,Carnivore,Vertivore,Insessorial,8.36,68.66,45.5,-105.33,15462822.34,Extant
Buteo lagopus,Buteo_lagopus,Accipitridae,Accipitriformes,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,Grassland,3,3,Carnivore,Vertivore,Insessorial,47.6,83.11,67.33,2.14,9709846.76,Extant
Buteo leucorrhous,Buteo_leucorrhous,Accipitridae,Accipitriformes,29,17,9.8,14.2,62.6,241,65.5,174.2,27.3,171.6,290,Forest,1,1,Carnivore,Vertivore,Insessorial,-29.69,11.14,-18.54,-56.7,1189248.2,Extant
Buteo lineatus,Buteo_lineatus,Accipitridae,Accipitriformes,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,Woodland,1,3,Carnivore,Vertivore,Aerial,24.95,47.85,37.72,-86.88,3542030.5,Extant
Buteo magnirostris,Buteo_magnirostris,Accipitridae,Accipitriformes,26.4,17.4,10.4,13.4,61.5,220.9,64.9,164.6,28,159.1,269,Forest,1,1,Carnivore,Vertivore,Insessorial,-38.24,25.35,-8.51,-60.46,15043360.16,Extant
Buteo nitidus,Buteo_nitidus,Accipitridae,Accipitriformes,31.6,19.3,11.3,15.9,69.3,253.2,76.2,188,28.8,167.7,519,Forest,1,1,Carnivore,Vertivore,Insessorial,-27.61,33.17,-3.27,-62.64,11845064.35,Extant
Buteo oreophilus,Buteo_oreophilus,Accipitridae,Accipitriformes,34.7,18.8,11.4,15.2,69.7,345.9,127.2,218.7,36.7,183,700,Forest,1,1,Carnivore,Vertivore,Insessorial,-34.84,13.65,-4.09,33.52,776157.72,Extant
Buteo platypterus,Buteo_platypterus,Accipitridae,Accipitriformes,28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.7,Forest,2,3,Carnivore,Vertivore,Insessorial,11.13,55.3,42.9,-87.09,4864047.78,Extant
Buteo polyosoma,Buteo_polyosoma,Accipitridae,Accipitriformes,36.3,21.1,13,18.3,83.4,402,153.3,249.8,38.1,192.8,782.6,Shrubland,2,2,Carnivore,Vertivore,Aerial,-55.98,6.3,-31.98,-70.13,3165493.22,Extant
Buteo regalis,Buteo_regalis,Accipitridae,Accipitriformes,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,Grassland,3,3,Carnivore,Vertivore,Generalist,33.21,53.3,43.14,-108.76,2780053.23,Extant
Buteo ridgwayi,Buteo_ridgwayi,Accipitridae,Accipitriformes,26.5,14.9,9.8,14.2,65.8,222.5,73.9,148.6,33.4,144.2,315,Forest,1,1,Carnivore,Vertivore,Insessorial,18.97,19.27,19.07,-69.57,210.23,Extant
Buteo rufinus,Buteo_rufinus,Accipitridae,Accipitriformes,41.6,23.5,14,19.8,86.1,447.5,180.8,266.8,40.5,244.5,1166.2,Grassland,3,3,Carnivore,Vertivore,Generalist,13.22,53.66,40.86,49.85,8574436.83,Extant
Buteo rufofuscus,Buteo_rufofuscus,Accipitridae,Accipitriformes,39.8,23.2,13.4,17.9,84.9,413.2,140.6,275.9,33.8,190.4,1530,Grassland,3,2,Carnivore,Vertivore,Generalist,-34.84,-19.37,-28.14,23.03,1533534.66,Extant
Buteo solitarius,Buteo_solitarius,Accipitridae,Accipitriformes,31.8,20.4,13.2,15.9,72.7,270.2,92.3,178,34.1,160.5,500.9,Forest,1,1,Carnivore,Vertivore,Insessorial,18.99,20.27,19.6,-155.53,6957.48,Extant
