Phylo,Family,Order,Scientific_name,Mass
Chen_caerulescens,Anatidae,Anseriformes,Chen caerulescens,2636.2
Chen_canagica,Anatidae,Anseriformes,Chen canagica,2136.5
Chen_rossii,Anatidae,Anseriformes,Chen rossii,1636
Chenonetta_jubata,Anatidae,Anseriformes,Chenonetta jubata,807.5
Chloephaga_hybrida,Anatidae,Anseriformes,Chloephaga hybrida,2281.8
Chloephaga_melanoptera,Anatidae,Anseriformes,Chloephaga melanoptera,2037
Chloephaga_picta,Anatidae,Anseriformes,Chloephaga picta,2880.4
Chloephaga_poliocephala,Anatidae,Anseriformes,Chloephaga poliocephala,2007.1
Chloephaga_rubidiceps,Anatidae,Anseriformes,Chloephaga rubidiceps,2086
Clangula_hyemalis,Anatidae,Anseriformes,Clangula hyemalis,871
Coscoroba_coscoroba,Anatidae,Anseriformes,Coscoroba coscoroba,4294.8
Cyanochen_cyanoptera,Anatidae,Anseriformes,Cyanochen cyanoptera,1520
Cygnus_atratus,Anatidae,Anseriformes,Cygnus atratus,5623.2
Cygnus_buccinator,Anatidae,Anseriformes,Cygnus buccinator,11071.1
Cygnus_columbianus,Anatidae,Anseriformes,Cygnus columbianus,6378
Cygnus_cygnus,Anatidae,Anseriformes,Cygnus cygnus,9350
Cygnus_melancoryphus,Anatidae,Anseriformes,Cygnus melancoryphus,4711.7
Cygnus_olor,Anatidae,Anseriformes,Cygnus olor,10682
Dendrocygna_arborea,Anatidae,Anseriformes,Dendrocygna arborea,1150
Dendrocygna_arcuata,Anatidae,Anseriformes,Dendrocygna arcuata,796.2
Dendrocygna_autumnalis,Anatidae,Anseriformes,Dendrocygna autumnalis,755.3
Dendrocygna_bicolor,Anatidae,Anseriformes,Dendrocygna bicolor,756.4
Dendrocygna_eytoni,Anatidae,Anseriformes,Dendrocygna eytoni,790
