Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Callonetta_leucophrys,Anatidae,Anseriformes,Callonetta leucophrys,38.8,29,13.1,11.6,27.8,169,72.2,96.8,42.8,58,362.8,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-34.98,-13.88,-25.25,-60.4,1310348,Extant
Cereopsis_novaehollandiae,Anatidae,Anseriformes,Cereopsis novaehollandiae,47.4,24.5,20.6,22.8,101.3,470.8,155.8,312.2,33.4,153.2,3560,Shrubland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-43.64,-31.81,-36.03,139.72,557996.61,Extant
Chen_caerulescens,Anatidae,Anseriformes,Chen caerulescens,61.8,36,19.4,24.7,76.7,411.8,214.5,194.2,52.5,123.5,2636.2,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,50.94,81.71,72.41,-90.29,582038.07,Extant
Chen_canagica,Anatidae,Anseriformes,Chen canagica,42.3,23.2,20,17.5,64.9,374,181,185.5,49.4,108,2136.5,Coastal,3,3,Herbivore,Omnivore,Terrestrial,59.8,69.25,65.46,8.27,186745.48,Extant
Chen_rossii,Anatidae,Anseriformes,Chen rossii,38.1,22.4,13.8,15.7,58.8,346,188.2,157.8,54.4,102.8,1636,Wetland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,52.67,72.71,62.03,-94.91,216140.46,Extant
Chenonetta_jubata,Anatidae,Anseriformes,Chenonetta jubata,36.5,15.3,13.6,9.7,47.8,258.8,121.2,136.5,47,93.7,807.5,Wetland,3,1,Herbivore,Herbivore terrestrial,Terrestrial,-43.64,-12.84,-26.72,135.7,5996685.1,Extant
Chloephaga_hybrida,Anatidae,Anseriformes,Chloephaga hybrida,34.2,18.7,16.6,13.5,53.5,358,131.5,222.2,37.2,131.8,2281.8,Marine,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-55.98,-40.99,-49.89,-71.3,155646.24,Extant
Chloephaga_melanoptera,Anatidae,Anseriformes,Chloephaga melanoptera,40.7,19.7,17.6,14.5,74.4,431.7,152.8,279,35.5,137.3,2037,Wetland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-38.52,-7.52,-22.01,-69.7,1159462.3,Extant
Chloephaga_picta,Anatidae,Anseriformes,Chloephaga picta,40.1,21,18,14.7,72.5,412.2,178.2,226.2,44.1,138.2,2880.4,Grassland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-55.98,-35.23,-46.63,-71.12,749760.19,Extant
Chloephaga_poliocephala,Anatidae,Anseriformes,Chloephaga poliocephala,30.9,16.2,14.1,12,55.2,345.4,147,191.2,43.5,119,2007.1,Grassland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-55.98,-38.4,-47.76,-72.12,389825.64,Extant
Chloephaga_rubidiceps,Anatidae,Anseriformes,Chloephaga rubidiceps,30.5,15.3,13,11.2,56.2,325.6,143.2,179.8,44.4,109.4,2086,Grassland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-54.42,-51.01,-52.77,-67.12,52907.93,Extant
Clangula_hyemalis,Anatidae,Anseriformes,Clangula hyemalis,32.1,19.2,16,11.9,33.1,215.6,108.5,105,50.9,130.8,871,Wetland,3,3,Carnivore,Aquatic predator,Aquatic,35.57,83.11,68.24,-27.99,9492361.68,Extant
Coscoroba_coscoroba,Anatidae,Anseriformes,Coscoroba coscoroba,63.8,40.3,27.1,19.2,81.9,421.2,180.5,240.8,42.9,130,4294.8,Wetland,3,2,Omnivore,Aquatic predator,Terrestrial,-55.05,-20.81,-39.78,-66.44,1907875.57,Extant
Cyanochen_cyanoptera,Anatidae,Anseriformes,Cyanochen cyanoptera,31,20.8,16.4,13.3,56.2,326.2,118,208.2,36.2,112.5,1520,Grassland,3,1,Herbivore,Herbivore terrestrial,Terrestrial,6.11,13.2,9.52,37.96,361268.41,Extant
Cygnus_atratus,Anatidae,Anseriformes,Cygnus atratus,71.4,39.9,24.4,20.8,86.9,459.2,206,253.2,44.9,106.2,5623.2,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-43.64,-11.12,-26.09,133.78,6663270.06,Extant
Cygnus_buccinator,Anatidae,Anseriformes,Cygnus buccinator,107.6,52.9,33.6,27.7,108.8,625.5,267,358.5,42.7,178,11071.1,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,38.72,68.03,57.77,-130.2,1375549.41,Extant
Cygnus_columbianus,Anatidae,Anseriformes,Cygnus columbianus,101.9,41.1,30.4,20,93.8,538.2,243.8,294.5,45.3,162.2,6378,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,51.22,76,67.98,51.4,5272186.12,Extant
