"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"56","Accipiter_castanilius","Accipitridae","Accipitriformes","Accipiter castanilius",20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,"Forest",1,"partially_migratory","Carnivore","Vertivore","Insessorial",-10.36,10.12,0.71,18.29,2096401.63,"Extant"
"57","Accipiter_chilensis","Accipitridae","Accipitriformes","Accipiter chilensis",23.2,12.6,8,11.8,58.8,227,69.2,156.2,30.6,183.8,368,"Woodland",2,"partially_migratory","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"58","Accipiter_chionogaster","Accipitridae","Accipitriformes","Accipiter chionogaster",18.2,10.5,7.5,9.7,51.8,181,60.5,124.2,32.7,137,130.6,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"59","Accipiter_cirrocephalus","Accipitridae","Accipitriformes","Accipiter cirrocephalus",19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,"Forest",1,"partially_migratory","Carnivore","Vertivore","Generalist",-43.64,0.04,-23.36,137.81,5488639.45,"Extant"
"60","Accipiter_collaris","Accipitridae","Accipitriformes","Accipiter collaris",20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,"Forest",1,"partially_migratory","Carnivore","Vertivore","Insessorial",-13.2,11.25,2.47,-75.57,253265.36,"Extant"
"61","Accipiter_cooperii","Accipitridae","Accipitriformes","Accipiter cooperii",25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,"Woodland",2,"migratory","Carnivore","Vertivore","Aerial",23.28,53.31,41.25,-100.49,8393137.06,"Extant"
"62","Accipiter_erythronemius","Accipitridae","Accipitriformes","Accipiter erythronemius",17.6,9.4,6.6,8.3,46.8,181.6,53.2,128.8,29,131.6,125,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"63","Accipiter_gentilis","Accipitridae","Accipitriformes","Accipiter gentilis",33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Forest",1,"partially_migratory","Carnivore","Vertivore","Generalist",17.1,70.39,54.91,19.06,31775270.74,"Extant"
"64","Accipiter_gularis","Accipitridae","Accipitriformes","Accipiter gularis",23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,"Forest",1,"migratory","Carnivore","Vertivore","Insessorial",24.25,59,49.07,117.11,4785704.92,"Extant"
"65","Accipiter_nisus","Accipitridae","Accipitriformes","Accipiter nisus",19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,"Forest",1,"partially_migratory","Carnivore","Vertivore","Insessorial",26.9,70.53,54.67,77.29,23601609.31,"Extant"
"66","Accipiter_poliogaster","Accipitridae","Accipitriformes","Accipiter poliogaster",27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,"Forest",1,"partially_migratory","Carnivore","Vertivore","Insessorial",-30.38,6.82,-7.81,-60.09,7203530.62,"Extant"
